user_id,package_id,rating
616,47,3
313,365,5
322,331,5
915,430,4
918,194,4
1,409,2
778,116,4
118,39,5
889,2,5
989,371,4
900,259,5
28,43,1
7,198,5
817,302,5
702,261,4
802,112,4
555,396,4
658,170,5
506,173,3
217,405,2
380,89,5
759,318,4
687,107,3
556,290,5
639,27,3
562,438,2
644,296,3
117,126,5
14,5,2
245,169,4
961,37,4
681,460,4
866,175,5
455,160,5
472,439,3
374,264,2
191,18,4
704,464,5
286,123,4
819,434,4
368,240,5
459,331,3
249,498,5
268,439,4
679,292,3
538,105,4
794,248,5
339,201,4
626,499,2
96,400,5
899,486,5
812,216,4
297,373,5
413,483,5
590,69,4
450,114,5
350,111,3
369,211,4
968,343,5
662,132,5
924,334,1
618,16,5
381,228,5
608,25,3
824,126,4
45,92,4
239,37,2
83,19,5
748,123,4
598,111,5
689,110,3
334,421,1
792,222,5
806,159,5
729,9,4
977,69,1
962,1,5
347,320,5
879,268,5
448,475,4
674,327,5
365,22,4
689,228,3
113,160,5
966,355,5
169,137,2
532,385,1
655,140,5
826,497,4
669,401,5
42,474,5
496,78,5
42,94,5
525,370,5
720,198,3
968,323,3
687,434,3
846,455,5
907,231,4
537,165,3
40,290,4
746,220,4
858,118,5
467,99,4
115,208,4
503,369,1
116,156,4
951,425,3
751,41,4
112,279,5
51,489,5
529,244,4
560,267,4
96,397,4
813,205,2
328,44,5
741,166,4
730,89,5
3,494,3
457,451,5
934,462,5
546,137,3
812,180,4
382,103,4
253,141,5
145,142,2
705,41,3
526,287,1
147,313,5
858,198,3
255,34,4
586,179,3
470,102,5
261,106,5
802,388,1
13,490,4
205,226,4
712,293,4
555,107,4
9,487,1
142,439,5
729,293,1
750,219,4
810,368,5
783,495,4
524,172,5
503,424,4
799,479,4
429,327,4
48,414,3
411,365,4
101,323,5
996,382,3
148,346,5
328,490,4
208,84,5
28,356,3
389,280,5
838,416,3
565,264,2
763,328,3
426,202,5
851,380,4
98,232,5
244,314,3
928,253,3
682,135,5
981,414,5
775,150,5
843,189,5
911,114,2
316,256,2
139,315,5
197,412,4
493,214,5
712,177,1
282,441,5
171,191,4
794,337,4
753,437,3
95,76,5
520,237,3
802,455,4
467,29,5
70,296,2
969,291,4
333,133,4
59,314,3
630,346,5
745,402,3
935,473,3
127,394,2
194,236,4
881,428,1
222,121,2
359,363,4
617,445,3
937,165,5
851,179,3
178,94,4
602,312,5
803,453,3
384,16,4
748,155,5
521,339,5
65,110,4
821,54,4
4,450,5
594,283,4
177,197,5
157,305,4
873,11,4
232,333,4
619,361,3
302,340,3
850,320,2
781,187,4
266,270,3
55,259,5
278,475,3
683,443,4
333,329,5
178,412,3
554,233,4
708,317,2
832,343,4
605,37,4
13,95,3
164,476,2
51,239,4
46,44,5
729,394,4
468,495,3
302,263,5
804,109,3
995,82,4
951,32,5
359,268,4
544,116,3
991,298,5
459,426,4
603,390,2
939,115,3
757,49,5
835,443,2
411,398,5
889,399,3
373,53,3
628,234,3
779,491,5
4,464,5
936,106,5
378,414,5
206,412,4
399,284,4
508,320,5
266,481,5
972,216,5
703,342,2
138,463,4
197,137,5
433,362,2
556,446,4
225,127,5
853,397,3
151,195,4
947,466,5
307,203,2
671,187,5
739,253,5
405,322,5
397,420,4
398,204,4
973,99,4
701,268,3
92,321,5
881,350,4
54,189,5
652,334,4
274,363,3
276,60,4
341,150,2
887,199,5
899,271,1
106,404,3
946,412,4
255,492,4
146,90,4
14,129,4
666,394,4
555,259,5
133,51,1
136,226,4
751,452,3
172,259,5
70,118,4
603,437,3
162,277,3
231,491,5
740,365,4
178,441,5
519,312,3
188,340,3
361,191,5
62,334,2
899,112,3
510,469,5
178,432,3
234,124,1
881,447,5
5,494,1
717,59,4
339,60,2
205,409,5
116,70,4
874,51,3
909,85,5
433,201,4
354,191,5
350,106,3
186,370,2
752,87,3
512,210,1
872,7,4
157,433,3
200,203,5
475,203,4
260,100,4
625,101,4
541,43,4
223,120,4
66,58,5
302,210,5
452,293,3
443,121,4
818,123,5
26,97,5
114,485,3
759,395,3
343,349,5
482,150,3
803,189,5
281,105,1
138,146,4
268,263,5
430,166,2
285,305,4
217,451,3
146,447,5
737,115,3
164,209,5
729,200,1
750,17,4
627,454,5
731,193,5
124,59,3
185,281,4
700,492,5
354,376,3
729,362,5
737,120,5
558,255,5
599,32,3
515,384,5
55,109,3
690,453,3
756,216,4
465,160,2
919,484,5
656,96,5
27,328,4
811,155,4
88,51,5
124,494,4
883,80,5
385,248,4
715,106,5
878,265,4
148,344,5
221,394,4
804,194,3
881,203,3
604,384,5
959,124,5
688,130,4
728,72,4
7,360,4
461,365,3
433,369,4
60,389,2
477,294,5
621,290,4
987,382,5
286,167,5
73,343,3
323,129,5
404,309,4
387,212,3
160,174,5
472,338,2
591,333,5
590,187,4
694,396,4
893,206,4
286,65,3
689,467,3
179,369,4
727,439,5
869,170,5
195,16,5
983,325,1
251,100,3
971,202,4
86,37,5
446,426,5
930,287,2
733,499,4
366,361,5
996,428,2
884,199,3
420,385,4
773,154,5
443,186,3
9,138,4
887,249,3
748,485,4
306,129,5
828,495,3
557,417,5
641,149,5
626,392,5
978,178,2
254,225,4
872,374,4
409,494,3
226,107,5
919,474,4
444,154,5
675,34,4
257,363,5
999,429,4
420,337,4
454,8,3
853,95,3
531,139,5
209,310,3
842,31,3
467,64,5
966,36,5
593,268,2
750,342,5
