package_id,title,price,duration,keyword
1,Progressive system-worthy encryption,203.95,10,1
2,Automated analyzing support,264.03,12,1
3,Re-contextualized holistic workforce,402.75,2,2
4,Seamless actuating approach,334.69,12,2
5,Business-focused radical process improvement,215.98,6,1
6,Synchronized foreground instruction set,135.69,10,2
7,Managed foreground product,62.19,4,1
8,Sharable methodical alliance,77.61,14,1
9,Adaptive background portal,369.18,6,1
10,User-friendly maximized extranet,288.89,11,3
11,De-engineered tangible projection,50.96,9,1
12,Ergonomic 24/7 array,80.62,10,3
13,Realigned eco-centric pricing structure,480,8,1
14,Reactive intangible moderator,113.08,8,1
15,Profound bi-directional initiative,376.74,14,3
16,Front-line 5thgeneration adapter,94.04,9,3
17,Sharable disintermediate task-force,304.08,13,3
18,Focused directional Graphical User Interface,173.92,10,1
19,Digitized foreground database,360.43,10,1
20,Proactive grid-enabled workforce,484.7,7,3
21,Secured demand-driven database,59.2,4,3
22,Public-key solution-oriented algorithm,211.33,8,2
23,Multi-tiered dynamic standardization,253.5,14,2
24,Function-based discrete instruction set,245.91,5,3
25,Multi-tiered disintermediate focus group,380.84,2,2
26,Networked solution-oriented artificial intelligence,161.17,3,3
27,Multi-channeled fresh-thinking neural-net,333.48,1,3
28,Virtual methodical productivity,457.85,9,3
29,Compatible human-resource definition,130.49,1,2
30,Stand-alone national protocol,111.75,4,3
31,Streamlined secondary infrastructure,103.57,7,2
32,Configurable static instruction set,350.46,5,3
33,Future-proofed real-time hub,413.12,10,2
34,Horizontal multimedia secured line,136.07,7,1
35,Diverse client-driven capacity,63.01,3,2
36,Multi-layered human-resource secured line,354.19,14,3
37,Ameliorated heuristic open architecture,352.1,5,2
38,Function-based intangible help-desk,277.68,5,3
39,Triple-buffered optimizing core,370.78,12,3
40,Synchronized modular emulation,319.59,3,2
41,Programmable eco-centric utilization,203.48,14,1
42,Progressive high-level methodology,370.91,11,2
43,Configurable didactic info-mediaries,373.55,5,2
44,Quality-focused mobile website,353.1,10,1
45,Intuitive 5thgeneration process improvement,212.56,1,1
